"Date: 2026-07-22+0000"
"Version: 7.2"
"Status: 
0 Normal
-1 Abandoned 
2 Completed"
"Folder Name","List Name","Title","Kind","Tags","Content","Is Check list","Start Date","Due Date","Reminder","Repeat","Priority","Status","Created Time","Completed Time","Order","Timezone","Is All Day","Is Floating","Column Name","Column Order","View Mode","taskId","parentId","projectKind"
"","GoCS","Fix the upload section of the website","TEXT","Feature, UI","","N","","","","","0","0","2026-07-07T20:24:07+0000","","-14293651161088","America/New_York","false","false","General","0","kanban","1","","TASK"
"","GoCS","parser seems to drop the last couple of rounds","TEXT","Bug","","N","","","","","0","0","2026-07-07T20:07:24+0000","","-13743895347200","America/New_York","false","false","General","0","kanban","2","","TASK"
"","GoCS","Combine season and files into one tab","TEXT","Feature, Bug","","N","","","","","0","0","2026-07-07T20:05:10+0000","","-13194139533312","America/New_York","false","false","General","0","kanban","3","","TASK"
"","GoCS","fix the loading screen for logging in.","TEXT","Bug","","N","","","","","0","0","2026-07-07T20:00:34+0000","","-12644383719424","America/New_York","false","false","General","0","kanban","4","","TASK"
"","GoCS","Fix the constantly overlapping player hud [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","TEXT","Bug","","N","","","","","0","0","2026-06-10T18:32:57+0000","","-12094627905536","America/New_York","false","false","General","0","kanban","5","","TASK"
"","GoCS","Pause button resets state and resets drawing. Should pick up where it left off","TEXT","Bug","","N","","","","","0","2","2026-05-26T20:11:00+0000","2026-06-14T22:07:43+0000","-11544872091648","America/New_York","false","false","General","0","kanban","6","","TASK"
"","GoCS","On the demo tables page, add columns if parsed. Maybe seperate parsed and not parsed ","TEXT","Feature","","N","","","","","0","2","2026-05-25T15:18:09+0000","2026-06-14T22:07:48+0000","-10995116277760","America/New_York","false","false","General","0","kanban","7","","TASK"
"","GoCS","Colors don't line up sometimes (blue dots for ts)","TEXT","Bug","","N","","","","","0","2","2026-05-23T16:20:46+0000","2026-07-03T16:21:59+0000","-10445360463872","America/New_York","false","false","General","0","kanban","8","","TASK"
"","GoCS","Parsing a demo for the first time does not populate hud correctly ","TEXT","Bug","","N","","","","","0","2","2026-05-23T15:29:14+0000","2026-05-30T14:36:48+0000","-9895604649984","America/New_York","false","false","General","0","kanban","9","","TASK"
"","GoCS","Add an indicator to tell where someone is looking","TEXT","Feature","","N","","","","","0","2","2026-05-23T12:49:04+0000","2026-07-03T16:22:02+0000","-9345848836096","America/New_York","false","false","General","0","kanban","10","","TASK"
"","GoCS","Play and Pause resets the round #bug","TEXT","","","N","","","","","0","2","2026-05-23T12:13:17+0000","2026-05-23T12:13:30+0000","-9345848836096","America/New_York","false","false","General","0","kanban","11","","TASK"
"","GoCS","Add players, hp and relevant info to playback ","CHECKLIST","Feature","▪Player hp▪Player main weapon▪Show bomb plant▪Player names▪Show grenades▪Show blind indicators ▪Show score somewhere ","Y","","","","","5","2","2026-05-22T19:51:23+0000","2026-06-10T18:09:02+0000","-8796093022208","America/New_York","false","false","General","0","kanban","12","","TASK"
"","GoCS","Smokes need to be redrawn if user seeks to a time where the smoke is down but not expiring ","TEXT","Bug","","N","","","","","0","2","2026-05-20T18:41:17+0000","2026-06-14T22:08:16+0000","-8246337208320","America/New_York","false","false","Bugs","1649267441664","kanban","13","","TASK"
"","GoCS","Looks like on playback, all players from team show up ","TEXT","Bug","","N","","","","","0","2","2026-05-20T18:40:40+0000","2026-07-03T16:22:17+0000","-7696581394432","America/New_York","false","false","Bugs","1649267441664","kanban","14","","TASK"
"","GoCS","Add a recovery function for when parser crashes [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","TEXT","Bug","","N","","","","","3","2","2026-05-20T17:39:12+0000","2026-07-07T18:36:12+0000","-7146825580544","America/New_York","false","false","General","0","kanban","15","","TASK"
"","GoCS","Add cumulative round search [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","TEXT","future","I want to be able to find all played rounds where x happened. Like all round until first kill, or player positions after bomb plant etc","N","","","","","3","0","2026-05-19T20:53:25+0000","2026-07-08T01:26:20+0000","-6597069766656","America/New_York","false","false","General","0","kanban","16","","TASK"
"","GoCS","Work on heatmaps [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","TEXT","future"," ","N","","","","","0","0","2026-05-19T20:52:48+0000","","-6047313952768","America/New_York","false","false","General","0","kanban","17","","TASK"
"","GoCS","make the playback drawable and have the players be moveable [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","TEXT","future","","N","","","","","3","0","2026-05-19T20:51:14+0000","2026-05-20T00:17:07+0000","-5497558138880","America/New_York","false","false","UI","1099511627776","kanban","18","","TASK"
"","GoCS","Maybe add colors to whichever team won the round [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","TEXT","","","N","","","","","0","0","2026-05-19T15:54:56+0000","","-4947802324992","America/New_York","false","false","UI","1099511627776","kanban","19","","TASK"
"","GoCS","Add progress bar [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","CHECKLIST","Feature","▪Working progress indicator▪Make it seekable▪Showcase when bomb was planted and when freeze time ends","Y","","","","","5","2","2026-05-19T15:54:38+0000","2026-07-07T18:36:00+0000","-4398046511104","America/New_York","false","false","UI","1099511627776","kanban","20","","TASK"
"","GoCS","Add entities like dropped weapons, kits [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","TEXT","future","","N","","","","","0","0","2026-05-19T15:54:28+0000","","-3848290697216","America/New_York","false","false","Parser","549755813888","kanban","21","","TASK"
"","GoCS","Optimize the parser [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","TEXT","","","N","","","","","0","0","2026-05-19T15:53:59+0000","","-3298534883328","America/New_York","false","false","Parser","549755813888","kanban","22","","TASK"
"","GoCS","Add advanced stats [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","CHECKLIST","Feature","▪Track utility damage▪▪Track Specific sides (bomb plants, retakes, kills)▪Amount of util thrown▪Track entries▪Track clutches","Y","","","","","5","2","2026-05-19T15:53:28+0000","2026-07-22T19:33:38+0000","-2748779069440","America/New_York","false","false","General","0","kanban","23","","TASK"
"","GoCS","Add event logs on left side","TEXT","UI","","N","","","","","3","2","2026-05-19T15:48:35+0000","2026-06-14T22:08:04+0000","-2199023255552","America/New_York","false","false","UI","1099511627776","kanban","24","","TASK"
"","GoCS","Add functional tabs to left of 2d player [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","CHECKLIST","Feature","▫Notes tab▫Draw section▪Tab that shows all events that occurred in that round ▪A menu or nav bar to display options","Y","","","","","5","0","2026-05-19T15:48:27+0000","2026-05-20T12:42:10+0000","-1649267441664","America/New_York","false","false","Parser","549755813888","kanban","25","","TASK"
"","GoCS","Add Organization to the demos [GoCS.md](obsidian://open?vault=Whendeez&file=GoCS.md)","TEXT","Feature","I.e add filters like pro demo, uploaded demo, allow moving ","N","","","","","1","0","2026-05-19T15:48:17+0000","","-1099511627776","America/New_York","false","false","General","0","kanban","26","","TASK"
"","GoCS","Add users","CHECKLIST","Feature","▪Oath2 via steam▪Log in ▪Home Screen with some populations ","Y","","","","","5","2","2026-05-19T15:47:46+0000","2026-06-22T13:38:52+0000","-549755813888","America/New_York","false","false","General","0","kanban","27","","TASK"
